COUNTRY,CONTROL OF CORRUPTION,POLITICAL STABILITY AND ABSENCE OF VIOLENCE AND TERRORISM,Socio-economic resilience,Access to quality healthcare,Access to communications infrastructure,GDP per Capita (PPP),Energy Consumption,Life Expectancy at Birth,Unemployment Rate,Infant Mortality
Afghanistan,-1.18,-2.55,46.6,61.9,17.4,1500,3227000,54.1,14.1,103.1
Albania,-0.41,0.11,62.3,62.1,66.4,15500,38442000,79.7,11.63,10.5
Algeria,-0.64,-0.74,56.5,71,66.4,11200,61433000,77.8,12.49,18.8
Angola,-0.6,-0.65,40.7,70,41.7,5900,11693000,62.5,14.48,57.2
Argentina,-0.45,-0.01,75,66.8,84.2,22500,79083000,78.6,6.81,9.1
Armenia,0.03,-0.8,65.3,64.8,77.6,16100,53019000,76.4,8.59,11.9
Australia,1.76,0.93,86.3,72.5,81.3,51100,241004000,83.3,3.7,3
Austria,1.26,0.64,88.2,66.8,84,55900,171299000,82.5,4.99,3.2
Azerbaijan,-1.04,-0.93,70.9,63.7,68.6,15100,64416000,74.9,5.65,11.9
Bahrain,0.14,-0.41,46.8,66.4,88.6,51900,547976000,80.1,1.34,10
Bangladesh,-1.08,-1.09,61.1,68.6,33.8,6300,9917000,75,4.27,29.6
Barbados,1.28,1.15,77.1,71.7,77.2,15400,83723000,78.8,8.5,9.8
Belarus,-0.58,-0.79,73.2,59.2,79,19100,102558000,74.6,3.57,2.1
Belgium,1.5,0.58,90.6,68,78.8,53300,234216000,82.1,5.56,3.2
Belize,-0.24,0.43,57.5,73.5,62.7,9500,31552000,73.7,8.67,11.3
Benin,-0.12,-0.35,36.4,71.9,30.1,3400,8468000,62.6,1.48,54.3
Bhutan,1.51,0.86,59.8,69.8,71.9,11600,100135000,73,5.95,25.6
Bolivia,-0.89,-0.28,47.9,69.1,54.5,8200,27094000,72.5,3.55,22.3
Bosnia and Herzegovina,-0.68,-0.44,63.6,58.2,77.7,16700,71815000,78.2,12.66,5.1
Botswana,0.66,1.08,58.9,63.7,60.3,15500,34095000,66,23.62,24.4
Brazil,-0.57,-0.33,57.4,72,77.6,15100,59444000,76.1,9.23,13.1
Bulgaria,-0.16,0.25,72.1,50.7,80.7,27000,103924000,75.8,4.27,7.8
Burkina Faso,-0.08,-1.78,41.6,69.7,47.6,2200,3230000,63.8,5.07,48.2
Cambodia,-1.24,-0.04,44.3,71,57.2,4500,13629000,71,0.23,28.8
Cameroon,-1.13,-1.35,37.1,68.8,56.2,3700,6187000,63.7,3.78,47.4
Canada,1.66,0.77,95.5,70,77.8,49000,403700000,84,5.28,4.3
Chad,-1.49,-1.48,15,67.7,29.7,1400,1575000,59.6,1.1,64
Chile,0.97,0.12,74.6,61,83.3,25900,81953000,80,8.25,6.4
China,0.02,-0.44,66.5,72,77.8,18200,105687000,78.2,4.98,6.5
Colombia,-0.36,-0.64,61.9,78.5,77.8,15600,34703000,74.9,10.55,11.7
Comoros,-1.24,-0.23,42.1,70,28,3200,5346000,67.5,5.75,56
"Congo, Republic of the",-1.54,-1.98,33.1,69.5,37.4,3700,16156000,72.2,20.48,31.4
Costa Rica,0.47,0.95,69.4,77.8,90.1,22100,44899000,79.6,11.32,7
